filename,page,chunk_number,text,summary
new-approaches-and-procedures-for-cancer-treatment.pdf,7.0,1,"Debela et al. 7
Figure 1. Current status of clinical trials of innovative and novel strategies of cancer therapy.
Table 3. Comparison of advantageous and disadvantageous of new cancer therapies.
S. no. Treatment approach Advantages Disadvantages
01 Stem cell therapy Safe and effective
Can be combined with other strategiesDecreases tumor volumes and extend survivalTreatment not durablePotential tumorigenesis
02 Targeted therapy High specificityReduced adverse reactionsLong-term side effects in question
03 Ablation therapy Precise treatment
Possibility to perform along with MRI imaging (magnetic 
hyperthermia)Efficiency mainly to localized areas
Low penetration power
Needs skilled operator
04 Gene therapy Expression of proapoptotic and chemosensitizing genesExpression of wild-type tumor suppressor genes
Expression of genes able to solicit specific anti-tumor 
immune responsesTargeted silencing of oncogenes and safety (RNAi)Genome integrationLimited efficacy in specific subsets of patients
High chances to be neutralized by the 
immune systemOff-target effects and inflammation (RNAi)
Need for ad hoc delivery systems (RNAi)
Setup of doses and suitable conditions for controlled release (RNAi)
05 Natural antioxidants Easily available in large quantitiesThe exploitation of their intrinsic propertiesLimited bioavailabilityPossible toxicity
MRI: magnetic resonance imaging.
Table 4. Advanced therapy approaches and delivery systems.
S. no. Types of therapy Delivery system Example
01 Stem cell Nanop",debela et al. 7 Figure 1. Current status of clinical trials of innovative and novel cancer therapies . S. no. Treatment approach Advantages Disadvantages 01 Stem cell therapy Safe and effective Can be combined with other strategiesDecreases tumor volumes and extend survivalTreatment not durablePotential tumorigenesis 02 Targeted therapy High specificityReduced adverse reactions .
new-approaches-and-procedures-for-cancer-treatment.pdf,7.0,2,"Easily available in large quantitiesThe exploitation of their intrinsic propertiesLimited bioavailabilityPossible toxicity
MRI: magnetic resonance imaging.
Table 4. Advanced therapy approaches and delivery systems.
S. no. Types of therapy Delivery system Example
01 Stem cell Nanoparticles84Hyaluronic acid (HA)Polyvinyl alcohol
02 Immune therapy
85NanoparticlesScaffolds
HydrogelsAntigen-TLR agonist fusion vaccines
Porous 3D scaffolds
Anti-PD-1 mAbs
03 Gene therapy
86Viral gene delivery
Non-viral gene deliveryPolysaccharidesPolyethylemine (PEI)
Lipid
Naked DNA
04 Natural antioxidants Nano delivery systems
87Solid nanocrystalsNanoemulsion
Nanoliposomes",toxicity MRI: magnetic resonance imaging . Table 4. Advanced therapy approaches and delivery systems . s. no. Types of therapy Delivery system Example 01 Stem cell Nanoparticles84Hyaluronic acid (HA)Polyvinyl alcohol 02 Immune therapy 85NanopartikelsScaffolds HydrogelsAntigen-TLR agonist fusion vaccines Porous 3D scaffolds Anti-PD-1 mAbs 03 Gene therapy 86Viral gene delivery Non-viral
new-approaches-and-procedures-for-cancer-treatment.pdf,8.0,1,"8 SAGE Open Medicine
personalized therapies. Further development and refinement 
of drug delivery systems are essential for improving thera-peutic outcomes.
Acknowledgements
The authors thank the Center for Innovative Drug Development and 
Therapeutic Trials for Africa (CDT-Africa), Addis Ababa University, for the support rendered.
Author contributions
D.T.D. is a major contributor in writing the manuscript. All others reviewed and approved the manuscript.
Declaration of conflicting interests
The author(s) declared no potential conflicts of interest with respect to the research, authorship, and/or publication of this article.
Funding 
The author(s) received no financial support for the research, author-ship, and/or publication of this article.
ORCID iDs 
Dejene Tolossa Debela  https://orcid.org/0000-0002-4615-5839
Tsegahun Manyazewal  https://orcid.org/0000-0002-8360-7574
References
 1. Sung H, Ferlay J, Siegel RL, et al. Global cancer statistics 2020: GLOBOCAN estimates of incidence and mortality worldwide for 36 cancers in 185 countries. CA Cancer J Clin 
2021; 71: 209–249.
 2. Ganesh K and Massagué J. Targeting metastatic cancer. Nat 
Med 2021; 27: 34–44.","the authors thank the Center for Innovative Drug Development and Therapeutic Trials for Africa (CDT-Africa), Addis Ababa University, for the support rendered . author contributions D.T.D. is a major contributor in writing the manuscript ."
new-approaches-and-procedures-for-cancer-treatment.pdf,8.0,2,"CA Cancer J Clin 
2021; 71: 209–249.
 2. Ganesh K and Massagué J. Targeting metastatic cancer. Nat 
Med 2021; 27: 34–44.
 3. Merriel SWD, Ingle SM, May MT, et al. Retrospective cohort 
study evaluating clinical, biochemical and pharmacological 
prognostic factors for prostate cancer progression using pri-mary care data. BMJ Open 2021; 11: e044420.
 4. GlobalSurg Collaborative and National Institute for Health Research Global Health Research Unit on Global Surgery. 
Global variation in postoperative mortality and complications 
after cancer surgery: a multicentre, prospective cohort study in 82 countries. Lancet 2021; 397: 387–397.
 5. Roy A and Li SD. Modifying the tumor microenviron-
ment using nanoparticle therapeutics. Wiley Interdiscip Rev 
Nanomed Nanobiotechnol 2016; 8(6): 891–908.
 6. Bayat Mokhtari R, Homayouni TS, Baluch N, et al. Combination therapy in combating cancer. Oncotarget 2017; 8: 38022–38043.
 7. Abbas Z and Rehman S. An overview of cancer treatment modalities. Neoplasm 2018; 1:","new cohort study evaluating clinical, biochemical and pharmacological prognostic factors for prostate cancer progression using pri-mary care data . a multicentre cohort study in 82 countries ."
new-approaches-and-procedures-for-cancer-treatment.pdf,8.0,3,"in combating cancer. Oncotarget 2017; 8: 38022–38043.
 7. Abbas Z and Rehman S. An overview of cancer treatment modalities. Neoplasm 2018; 1: 139–157.
 8. El-Hussein A, Manoto SL, Ombinda-Lemboumba S, et al. A review of chemotherapy and photodynamic therapy for lung 
cancer treatment. Anticancer Agents Med Chem 2021; 21(2): 
149–161.
 9. Ghanghoria R, Kesharwani P, Tekade RK, et al. Targeting 
luteinizing hormone-releasing hormone: a potential therapeu-
tics to treat gynecological and other cancers. J Control Release 
2018; 269: 277–301. 10. Charmsaz S, Collins DM, Perry AS, et al. Novel strategies for 
cancer treatment: highlights from the 55th IACR annual con-
ference. Cancers 2019; 11: 1125.
 11. Arruebo M, Vilaboa N, Sáez-Gutierrez B, et al. Assessment of 
the evolution of cancer treatment therapies. Cancers 2011; 3: 
3279–3330.
 12. Moses MA, Brem H and Langer R. Advancing the","oncotarget 2017; 8: 38022–38043. 7. Abbas Z and Rehman S. An overview of cancer treatment modalities. Neoplasm 2018; 1: 139–157. 8. El-Hussein A, Manoto SL, Ombinda-Lemboumba S, and al. A review of chemotherapy and photodynamic therapy for lung cancer treatment."
new-approaches-and-procedures-for-cancer-treatment.pdf,8.0,4,"utierrez B, et al. Assessment of 
the evolution of cancer treatment therapies. Cancers 2011; 3: 
3279–3330.
 12. Moses MA, Brem H and Langer R. Advancing the field of 
drug delivery: taking aim at cancer. Cancer Cell 2003; 4(5): 
337–341.
 13. Shapira A, Livney YD, Broxterman HJ, et al. Nanomedicine 
for targeted cancer therapy: towards the overcoming of drug resistance. Drug Resist Updat 2011; 14(3): 150–163.
 14. Mondal J, Panigrahi AK and Khuda-Bukhsh AR. Conventional 
chemotherapy: problems and scope for combined therapies 
with certain herbal products and dietary supplements. Austin J 
Mol Cell Biol 2014; 1: 10.
 15. El-Readi MZ and Althubiti MA. Cancer nanomedicine: a new 
era of successful targeted therapy. J Nanomater 2019; 2019: 
4927312.
 16. Naji A, Eitoku M, Favier B, et al. Biological functions of mes-
enchymal stem cells and clinical implications. Cell Mol Life 
Sci 2019; 76(17): 3323–3348.
 17. Takahashi K","utierrez B, Moses MA, Brem H and Langer R. Advancing the field of drug delivery: taking aim at cancer . drug Resist Updat 2011; 14(3): 150–163 ."
new-approaches-and-procedures-for-cancer-treatment.pdf,8.0,5,", Favier B, et al. Biological functions of mes-
enchymal stem cells and clinical implications. Cell Mol Life 
Sci 2019; 76(17): 3323–3348.
 17. Takahashi K and Yamanaka S. Induction of pluripotent stem 
cells from mouse embryonic and adult fibroblast cultures by 
defined factors. Cell 2006; 126: 663–676.
 18. Li Y, Hermanson DL, Moriarity BS, et al. Human iPSC-
derived natural killer cells engineered with chimeric antigen 
receptors enhance anti-tumor activity. Cell Stem Cell 2018; 
23: 181.e5–192.e5.
 19. Ouyang X, Telli ML and Wu JC. Induced pluripotent stem 
cell-based cancer vaccines. Front Immunol 2019; 10: 1510.
 20. Trujillo-Alonso V, Pratt EC, Zong H, et al. FDA-approved 
ferumoxytol displays anti-leukaemia efficacy against cells 
with low ferroportin levels. Nat Nanotechnol 2019; 14(6): 616–622.
 21. Lin W, Huang L, Li Y, et al. Mesenchymal stem cells and 
cancer: clinical challenges and opportunities. Biomed Res Int 
2019; 2019: 282",mesenchymal stem cells and cancer: clinical challenges and opportunities . iPSC- derived natural killer cells engineered with chimeric antigen receptors enhance anti-tumor activity .
new-approaches-and-procedures-for-cancer-treatment.pdf,8.0,6,"616–622.
 21. Lin W, Huang L, Li Y, et al. Mesenchymal stem cells and 
cancer: clinical challenges and opportunities. Biomed Res Int 
2019; 2019: 2820853.
 22. Chu DT, Nguyen TT, Tien NLB, et al. Recent progress of stem 
cell therapy in cancer treatment: molecular mechanisms and 
potential applications. Cells 2020; 9: 563.
 23. Chang JC. Cancer stem cells: role in tumor growth, recur-
rence, metastasis, and treatment resistance. Medicine 2016; 
95(1 Suppl. 1): S20–S25.
 24. Sullivan CB, Porter RM, Evans CH, et al. TNFα and IL-1β 
influence the differentiation and migration of murine MSCs 
independently of the NF-κB pathway. Stem Cell Res Ther 
2014; 5: 104.
 25. Vakhshiteh F, Atyabi F and Ostad SN. Mesenchymal stem 
cell exosomes: a two-edged sword in cancer therapy. Int J Nanomedicine 2019; 14: 2847–2859.
 26. Reddy RL. Mobilization and collection of peripheral blood 
progenitor cells for transplantation. Transfus Apher Sci 2005; 
32:","biomed Res Int 2019: 2820853. 21. Lin W, Huang L, Li Y, et al. Mesenchymal stem cells and cancer: clinical challenges and opportunities ."
new-approaches-and-procedures-for-cancer-treatment.pdf,8.0,7,"2019; 14: 2847–2859.
 26. Reddy RL. Mobilization and collection of peripheral blood 
progenitor cells for transplantation. Transfus Apher Sci 2005; 
32: 63–72.
 27. Copelan EA. Hematopoietic stem-cell transplantation. N Engl 
J Med 2006; 354: 1813–1826.
 28. Casper J, Wolff D, Knauf W, et al. Allogeneic hematopoietic 
stem-cell transplantation in patients with hematologic malig-
nancies after dose-escalated treosulfan/fludarabine condition-
ing. J Clin Oncol 2010; 28: 3344–3351.",hematopoietic stem-cell transplantation in patients with hematologic malig- nancies after dose-escalated treosulfan/fludarabine condition- ing .
new-approaches-and-procedures-for-cancer-treatment.pdf,9.0,1,"Debela et al. 9
 29. Sage EK, Thakrar RM and Janes SM. Genetically modified 
mesenchymal stromal cells in cancer therapy. Cytotherapy 2016; 18(11): 1435–1445.
 30. Dai H, Wang Y, Lu X, et al. Chimeric antigen receptors 
modified T-cells for cancer therapy. J Natl Cancer Inst 2016; 108(7): djv439.
 31. Batlle E and Clevers H. Cancer stem cells revisited. Nat Med 
2017; 23: 1124–1134.
 32. Khalil C, Moussa M, Azar A, et al. Anti-proliferative effects 
of mesenchymal stem cells (MSCs) derived from multiple sources on ovarian cancer cell lines: an in-vitro experimental study. J Ovarian Res 2019; 12: 70.
 33. Konopleva M, Pollyea DA, Potluri J, et al. Efficacy and bio-
logical correlates of response in a phase II study of Venetoclax monotherapy in patients with acute myelogenous leukemia. Cancer Discov 2016; 6(10): 1106–1117.
 34. National Cancer Institute. Targeted cancer therapies. 
Bethesda, MD: National Cancer Institute","debela et al. 9 29. Sage EK, Thakrar RM and Janes SM. Genetically modified mesenchymal stromal cells in cancer therapy . djv439. 31. Batlle E and Clevers H. Cancer stem cells revisited ."
new-approaches-and-procedures-for-cancer-treatment.pdf,9.0,2,"otherapy in patients with acute myelogenous leukemia. Cancer Discov 2016; 6(10): 1106–1117.
 34. National Cancer Institute. Targeted cancer therapies. 
Bethesda, MD: National Cancer Institute, 2020.
 35. Adjei IM and Blanka S. Modulation of the tumor microen-
vironment for cancer treatment: a biomaterials approach. J Funct Biomater 2015; 6: 81–103.
 36. Valter K, Chen L, Kruspig B, et al. Contrasting effects of glu-
tamine deprivation on apoptosis induced by conventionally used anticancer drugs. Biochim Biophys Acta Mol Cell Res 2017; 1864(3): 498–506.
 37. Bailey KM, Wojtkowiak JW, Hashim AI, et al. Chapter four: 
targeting the metabolic microenvironment of tumors. In: 
Smalley KSM (ed.) Advances in pharmacology. Cambridge, MA: Academic Press, 2012, pp. 63–107.
 38. Yadav P. Targeted cancer therapy; researchers reflection. Int 
Peer-Rev J 2017; 1: 11–17.
 39. Weber WA. Positron emission tomography as an imaging bio-
marker. J Clin Oncol 2006; 24: 3282–3292","otherapy in patients with acute myelogenous leukemia: a biomaterials approach . national cancer institute, 2020. 35. Adjei IM and Blanka S. Targeted cancer therapies ."
new-approaches-and-procedures-for-cancer-treatment.pdf,9.0,3,"Rev J 2017; 1: 11–17.
 39. Weber WA. Positron emission tomography as an imaging bio-
marker. J Clin Oncol 2006; 24: 3282–3292.
 40. Citri A and Yarden Y. EGF-ERBB signalling: towards the sys-
tems level. Nat Rev Mol Cell Biol 2006; 7(7): 505–516.
 41. Luo J, Manning BD and Cantley LC. Targeting the PI3K-Akt 
pathway in human cancer: rationale and promise. Cancer Cell 2003; 4(4): 257–262.
 42. Hurwitz H, Fehrenbacher L, Novotny W, et al. Bevacizumab 
plus irinotecan, fluorouracil, and leucovorin for metastatic 
colorectal cancer. N Engl J Med 2004; 350: 2335–2342.
 43. Carter P. Improving the efficacy of antibody-based cancer 
therapies. Nat Rev Cancer 2001; 1(2): 118–129.
 44. Adams GP and Weiner LM. Monoclonal antibody therapy of 
cancer. Nat Biotechnol 2005; 23: 1147–1157.
 45. Sorokin P. Mylotarg","40. Citri A and Yarden Y. EGF-ERBB signalling: towards the sys- tems level . Nat Rev Mol Cell Biol 2006; 7(7): 505–516. 41. Luo J, Manning BD and Cantley LC. Targeting the PI3K-Akt pathway in human cancer ."
new-approaches-and-procedures-for-cancer-treatment.pdf,9.0,4,"129.
 44. Adams GP and Weiner LM. Monoclonal antibody therapy of 
cancer. Nat Biotechnol 2005; 23: 1147–1157.
 45. Sorokin P. Mylotarg approved for patients with CD33+ acute 
myeloid leukemia. Clin J Oncol Nurs 2000; 4(6): 279–280.
 46. Jacobs SA. Yttrium ibritumomab tiuxetan in the treatment 
of non-Hodgkin’s lymphoma: current status and future pros-
pects. Biologics 2007; 1(3): 215–227.
 47. Pucci C, Martinelli C and Ciofani G. Innovative approaches 
for cancer treatment: current perspectives and new challenges. 
ecancer 2019; 13: 961.
 48. Tanner JE. Designing antibodies for oncology. Cancer 
Metastasis Rev 2005; 24(4): 585–598.
 49. Yap TA and Workman P. Exploiting the cancer genome: strat-
egies for the discovery and clinical development of targeted 
molecular therapeutics. Annu Rev Pharmacol Toxicol 2012; 
52: 549–573. 50. American Cancer Society. Ablation for liver cancer. Atlanta, 
GA: American Cancer Society, 2019.",monoclonal antibody therapy of cancer approved for patients with CD33+ acute myeloid leukemia . ecancer 2019: 13: 961. 48. Tanner JE. Designing antibodies for oncology .
new-approaches-and-procedures-for-cancer-treatment.pdf,9.0,5,"therapeutics. Annu Rev Pharmacol Toxicol 2012; 
52: 549–573. 50. American Cancer Society. Ablation for liver cancer. Atlanta, 
GA: American Cancer Society, 2019.
 51. Singh S and Melnik R. Thermal ablation of biological tissues 
in disease treatment: a review of computational models and 
future directions. Electromagn Biol Med 2020; 39: 49–88.
 52. Yakkala C, Chiang CL, Kandalaft L, et al. Cryoablation and 
immunotherapy: an enthralling synergy to confront the tumors. 
Front Immunol 2019; 10: 2283.
 53. Liu Y, Cao CS, Yu Y, et al. Thermal ablation in cancer 
(review). Oncol Lett 2016; 12: 2293–2295.
 54. Cabuy E. Thermal ablation in cancer treatment. Reliab Cancer 
Ther 2012; 2: 1–68.
 55. Gage AA and Baust J. Mechanisms of tissue injury in cryosur-
gery. Cryobiology 1998; 37(3): 171–186.
 56. Korpan NN. A history of cryosurgery: its development and 
future. J Am Coll Surg 2007; 204(",annu Rev Pharmacol Toxicol 2012; 52: 549–573. 50. American Cancer Society. Ablation for liver cancer: a review of computational models and future directions .
new-approaches-and-procedures-for-cancer-treatment.pdf,9.0,6,"ery. Cryobiology 1998; 37(3): 171–186.
 56. Korpan NN. A history of cryosurgery: its development and 
future. J Am Coll Surg 2007; 204(2): 314–324.
 57. Radiological Society of North America (RSNA) and American 
College of Radiology (ACR). Radiofrequency ablation (RFA) / microwave ablation (MWA) of liver tumors (internet). Oak 
Brook, IL: Radiological Society of North America; Reston, VA: American College of Radiology, 2020.
 58. Brace C. Thermal tumor ablation in clinical use. IEEE Pulse 
2011; 2(5): 28–38.
 59. Freeman SM, Abboud CN, Whartenby KA, et al. The 
“bystander effect”: tumor regression when a fraction of the 
tumor mass is genetically modified. Cancer Res 1993; 53: 
5274–5283.
 60. Ahrendt SA, Hu Y, Buta M, et al. p53 mutations and survival 
in stage I non-small-cell lung cancer: results of a prospective study. J Natl Cancer Inst 2003; 95: 961–970.
 61. Räty JK, Pikkarainen JT, Wirth T, et al. Gene therapy: the first",radiofrequency ablation (RFA) / microwave ablation of liver tumors (internet) 58. Brace C. Thermal tumor ablation in clinical use . cancer Res 1993; 53: 5274–5283 .
new-approaches-and-procedures-for-cancer-treatment.pdf,9.0,7,"cancer: results of a prospective study. J Natl Cancer Inst 2003; 95: 961–970.
 61. Räty JK, Pikkarainen JT, Wirth T, et al. Gene therapy: the first 
approved gene-based medicines, molecular mechanisms and clinical indications. Curr Mol Pharmacol 2008; 1(1): 13–23.
 62. Elbashir SM, Harborth J, Lendeckel W, et al. Duplexes of 
21-nucleotide RNAs mediate RNA interference in cultured 
mammalian cells. Nature 2001; 411: 494–498.
 63. Weiss B, Davidkova G and Zhou LW. Antisense RNA gene 
therapy for studying and modulating biological processes. Cell Mol Life Sci 1999; 55(3): 334–358.
 64. Putney SD, Brown J, Cucco C, et al. Enhanced anti-tumor 
effects with microencapsulated c-myc antisense oligonucleo-tide. Antisense Nucleic Acid Drug Dev 1999; 9(5): 451–458.
 65. Vita M and Henriksson M. The Myc oncoprotein as a thera-
peutic target for human cancer. Semin Cancer Biol 2006; 
16(4): 318–330.
 66.","gene therapy: first approved gene-based medicines, molecular mechanisms and clinical indications . weiss B, Davidkova G and Zhou LW. Antisense RNA gene therapy for studying and modulating biological processes ."
new-approaches-and-procedures-for-cancer-treatment.pdf,9.0,8,"65. Vita M and Henriksson M. The Myc oncoprotein as a thera-
peutic target for human cancer. Semin Cancer Biol 2006; 
16(4): 318–330.
 66. Fleming JB, Shen GL, Holloway SE, et al. Molecular conse-
quences of silencing mutant K-ras in pancreatic cancer cells: justification for K-ras-directed therapy. Mol Cancer Res 2005; 
3(7): 413–423.
 67. Subhan MA and Torchilin VP. siRNA based drug design, 
quality, delivery and clinical translation. Nanomedicine 2020; 29: 102239.
 68. Meng Z and Lu M. RNA interference-induced innate immu-
nity, off-target effect, or immune adjuvant? Front Immunol 2017; 8: 331.
 69. Xu CF and Wang J. Delivery systems for siRNA drug devel-
opment in cancer therapy. Asian J Pharm Sci 2015; 10: 1–12.
 70. Sarisozen C, Salzano G and Torchilin VP. Recent advances in 
siRNA delivery. Biomol Concepts 2015; 6: 321–341.","Vita M and Henriksson M. The Myc oncoprotein as a thera- peutic target for human cancer . 66. Fleming JB, Shen GL, Holloway SE, and others ."
new-approaches-and-procedures-for-cancer-treatment.pdf,9.0,9,Biomol Concepts 2015; 6: 321–341.,Biomol Concepts 2015; 6: 321–341 . biomol concepts 2015: 6:321–441 .
new-approaches-and-procedures-for-cancer-treatment.pdf,10.0,1,"10 SAGE Open Medicine
 71. Kim HS, Song IH, Kim JC, et al. In vitro and in vivo gene-
transferring characteristics of novel cationic lipids, DMKD (O, O'-dimyristyl-N-lysyl aspartate) and DMKE (O,O'-
dimyristyl-N-lysyl glutamate). J Control Release 2006; 115: 
234–241.
 72. Wagner MJ, Mitra R, McArthur MJ, et al. Preclinical mam-
malian safety studies of EPHARNA (DOPC nanoliposomal 
EphA2-targeted siRNA). Mol Cancer Ther 2017; 16: 1114–
1123.
 73. Mao S, Sun W and Kissel T. Chitosan-based formulations for 
delivery of DNA and siRNA. Adv Drug Deliv Rev 2010; 62: 
12–27.
 74. Urban-Klein B, Werth S, Abuharbeid S, et al. RNAi-mediated 
gene-targeting through systemic application of polyethyl-enimine (PEI)-complexed siRNA in vivo. Gene Ther 2005; 12(5): 461–466.
 75. Jeong JH, Mok H, Oh YK, et al. siRNA conjugate delivery 
systems. Bioconjug Chem","in vitro and in vivo gene- transfer characteristics of novel cationic lipids . DMKD (O, O'-dimyristyl-N-lysyl aspartate) and DMKE (o,O'- dimyristicyl glutamate)"
new-approaches-and-procedures-for-cancer-treatment.pdf,10.0,2,"vivo. Gene Ther 2005; 12(5): 461–466.
 75. Jeong JH, Mok H, Oh YK, et al. siRNA conjugate delivery 
systems. Bioconjug Chem 2009; 20(1): 5–14.
 76. Andreozzi P, Diamanti E, Py-Daniel KR, et al. Exploring the 
pH sensitivity of poly(allylamine) phosphate supramolecular nanocarriers for intracellular siRNA delivery. ACS Appl Mater 
Interfaces 2017; 9: 38242–38254.
 77. Halliwell B. Oxidative stress and cancer: have we moved for-
ward? Biochem J 2007; 401: 1–11.
 78. Bernardini S, Tiezzi A, Laghezza Masci V, et al. Natural 
products for human health: an historical overview of the 
drug discovery approaches. Nat Prod Res 2018; 32(16): 1926–1950. 79. Chikara S, Nagaprashantha LD, Singhal J, et al. Oxidative 
stress and dietary phytochemicals: role in cancer chemopre-vention and treatment. Cancer Lett 2018; 413: 122–134.
 80. Imran M, Ullah A, Sae","bioconjug Chem 2009; 20(1): 5–14. 76. Andreozzi P, Diamanti E, Py-Daniel KR, et al. Exploring the pH sensitivity of poly(allylamine) phosphate supramolecular nanocarriers for intracellular siRNA delivery ."
new-approaches-and-procedures-for-cancer-treatment.pdf,10.0,3,"ative 
stress and dietary phytochemicals: role in cancer chemopre-vention and treatment. Cancer Lett 2018; 413: 122–134.
 80. Imran M, Ullah A, Saeed F, et al. Cucurmin, anticancer, & 
antitumor perspectives: a comprehensive review. Crit Rev Food Sci Nutr 2018; 58: 1271–1293.
 81. Farooqi AA, Qureshi MZ, Khalid S, et al. Regulation of cell 
signaling pathways by berberine in different cancers: search-
ing for missing pieces of an incomplete jig-saw puzzle for an effective cancer therapy. Cancers 2019; 11: 478.
 82. Liu Y, Tang ZG, Lin Y, et al. Effects of quercetin on prolifera-
tion and migration of human glioblastoma U251 cells. Biomed 
Pharmacother 2017; 92: 33–38.
 83. Yang F, Song L, Wang H, et al. Quercetin in prostate cancer: 
chemotherapeutic and chemopreventive effects, mechanisms and clinical application potential (review). Oncol Rep 2015; 
33(6): 2659–2668.
 84. Wang H and He X. Nanoparticles for targeted drug delivery 
to","ative stress and dietary phytochemicals: role in cancer chemopre-vention and treatment . imran M, Ullah A, Saeed F, et al. Cucurmin, anticancer, & antitumor perspectives: a comprehensive review ."
new-approaches-and-procedures-for-cancer-treatment.pdf,10.0,4,"reventive effects, mechanisms and clinical application potential (review). Oncol Rep 2015; 
33(6): 2659–2668.
 84. Wang H and He X. Nanoparticles for targeted drug delivery 
to cancer stem cells and tumor. Methods Mol Biol 2018; 1831: 59–67.
 85. Zhao Z, Zheng L, Chen W, et al. Delivery strategies of cancer 
immunotherapy: recent advances and future perspectives. J 
Hematol Oncol 2019; 12: 126.
 86. Sung YK and Kim SW. Recent advances in the development 
of gene delivery systems. Biomater Res 2019; 23: 8.
 87. Vaiserman A, Koliada A, Zayachkivska A, et al. Nanodelivery 
of natural antioxidants: an anti-aging perspective. Front 
Bioeng Biotechnol 2020; 7: 447.",oncol Rep 2015; 33(6): 2659–2668 . Wang H and He X. Nanoparticles for targeted drug delivery to cancer stem cells and tumor .
Ocean_ecogeochemistry_A_review.pdf,1.0,1,"327Oceanography and Marine Biology: An Annual Review,  2013, 51, 327-374
© Roger N. Hughes, David Hughes, and I. Philip Smith, Editors
Taylor & Francis
OcEaN EcOgEOcHEmISTRy: a REvIEw
KElTON w. mcmaHON1,2,3, lI lINg HamaDy1 & SImON R. THORROlD1
1Biology Department, Woods Hole Oceanographic Institution, 
MS50, Woods Hole, MA 02543, USA
 E- mail: kmcmahon@whoi.edu (corresponding author), lhamady@ whoi.edu
2Red Sea Research Center, King Abdullah University of Science and Technology , 
Thuwal, Kingdom of Saudi Arabia
 E- mail: sthorrold@whoi.edu
3Ocean Sciences Department, University of California-Santa Cruz, Santa Cruz, CA 95064, USA
animal movements and the acquisition and allocation of resource s provide mechanisms for indi-
vidual behavioural traits to propagate through population, co mmunity and ecosystem levels of 
biological organization. Recent developments in analytical geo chemistry have provided ecolo-
gists with new opportunities to examine movements and trophi c dynamics and their subsequent 
inluence on the structure and functioning of animal communit ies. we refer to this approach as 
ec","recent developments in analytical geo chemistry have provided ecolo- gists with new opportunities to examine animal movements and trophi c dynamics . ecoceogEOcHEmISTRy: a REvIEw KElTON w. mcmaHON1,2,3, lI lINg HamaDy1 & SImON R. THORROlD1 1Biology Department, Woods Hole Oceanographic Institution, MS"
Ocean_ecogeochemistry_A_review.pdf,1.0,2,"developments in analytical geo chemistry have provided ecolo-
gists with new opportunities to examine movements and trophi c dynamics and their subsequent 
inluence on the structure and functioning of animal communit ies. we refer to this approach as 
ecogeochemistry —the application of geochemical techniques to fundamental questi ons in popula-
tion and community ecology. we used  meta- analyses of published data to construct δ2H, δ13c, δ15N, 
δ18O and Δ14c isoscapes throughout the world’s oceans. These maps reveal su bstantial spatial vari-
ability in stable isotope values on regional and  ocean- bas in scales. we summarize distributions of 
dissolved metals commonly assayed in the calciied tissues of mar ine animals. Finally, we review 
stable isotope analysis (SIa) of amino acids and fatty acids. T hese analyses overcome many of 
the problems that prevent bulk SIa from providing suficient ge ographic or trophic resolution in 
marine applications. we expect that ecologists will increasin gly use ecogeochemistry approaches 
to estimate animal movements and trace nutrient pathways in oce an food webs. These studies will, 
in turn, help provide the scientiic underpinning for  ecosyst em- based management strategies in 
marine environments.
Introduction
The acquisition and allocation of resources are fundamental req uirements for all animals and sig-
niicantly in",developments in analytical geo chemistry have provided ecolo- gists with new opportunities to examine movements and trophi c dynamics and their subsequent inluence on the structure and functioning of animal communit ies . ecogeochemistry is the application of geochemical techniques to fundamental questi ons in popula-tion and community ecology .
Ocean_ecogeochemistry_A_review.pdf,1.0,3,"turn, help provide the scientiic underpinning for  ecosyst em- based management strategies in 
marine environments.
Introduction
The acquisition and allocation of resources are fundamental req uirements for all animals and sig-
niicantly inluence behaviour, population dynamics and ecosys tem functioning. animal movement 
plays a critical role in resource acquisition and the transfer of these resources among locations. 
Trophic and movement ecology are therefore inextricably linke d across a range of spatiotemporal 
scales within and among food webs. This connection extends to the techniques used to study con-
nections among habitats and trophic groups. Stable isotope a nalysis (SIa) and other geochemi-
cal methods have been used extensively in food web studies and, m ore recently, to trace animal 
movements across habitats with distinctive isotopic signature s (Hobson 1999, Boecklen et al. 2011). 
This convergence represents a new direction for the ield of eco geochemistry, a term irst used by 
mizutani et al. (1991) to describe the use of SIa to infer diets o f bats and subsequently expanded to 
include a range of geochemical approaches applied to ecological studies of food web dynamics and 
movement (mcmahon et al. 2013).",ecosyst em- based management strategies in marine environments are fundamental req uirements for all animals and sig- niicantly inluence behaviour . animal movement plays a critical role in resource acquisition and the transfer of these resources among locations .
Ocean_ecogeochemistry_A_review.pdf,1.0,4,"expanded to 
include a range of geochemical approaches applied to ecological studies of food web dynamics and 
movement (mcmahon et al. 2013).",expanded to include geochemical approaches applied to ecological studies of food web dynamics and movement (mcmahon et al. 2013).
